category,question,options,correct,language
İlahiyat, Kötülüğü anlamada aşağıdakilerden hangisi Allah'ın iradesinin bir şekli değildir?,"İrade-i Şer'iyye, İrade-i Külliyye, İrade-i Nefsiyye",İrade-i Nefsiyye,tr
Fıkıh, Adet gören kadınlar bayram namazına gitmeli mi?,"Evet, Hayır, Evet ama namazın kendisine katılmazlar",Evet ama namazın kendisine katılmazlar,tr
İslam Tarihi," ""Ömer'i kim öldürdü?"" sorusunun cevabı nedir?","Ducanah el-Şami, Ebu Lülua el-Mecusi, Leys el-Saadi, Yaman bin Kays", Ebu Lülua el-Mecusi,tr
Kur'an," ""Laa yamassahu illal mutahharoon"" diyen ayet hangisidir?","56:79, 59:76, 57:69, 5:69",56:79,tr
Kur'an," ""İnsanların yaptıkları nedeniyle yeryüzünde bozulma yayıldı"" diyen ayet hangisidir?","31:40, 3:140, 30:41, 30:14",30:41,tr
تجويد,أي من الحروف التالية ليس من حروف الإظهار؟,"همزة, هاء, عين, قاف, خاء",قاف,ar
تجويد,كم عدد حركات المد إذا تبعت حرف المد حرف مشدد؟,"2, 3, 4, 6",6,ar
تجويد,أي من الحروف التالية ليس من حروف القلقلة؟,"قاف, باء, ثاء, جيم",ثاء,ar
تجويد,أي من الحروف التالية ليس من حروف الإدغام بعد النون؟,"ياء, ميم, لام, فاء",فاء,ar
فقه,ما حكم لبس الرجال للذهب في الإسلام إذا لم يكن هناك سبب؟,"محرم, مكروه, مباح, مستحب, واجب",محرم,ar
فقه,ما حكم لبس الرجال للحرير في الإسلام إذا لم يكن هناك سبب؟,"محرم, مكروه, مباح, مستحب, واجب",محرم,ar
قضايا معاصرة,ما هو موقف الإسلام من الأفعال الجنسية المثلية؟,"محرم, مكروه, مباح, مستحب, واجب",محرم,ar
قضايا معاصرة,ما هو موقف الإسلام من الجنس قبل الزواج؟,"محرم, مكروه, مباح, مستحب, واجب",محرم,ar
قضايا معاصرة,ما هو موقف الإسلام من المعاملات غير الفورية في تبادل الذهب والفضة؟,"محرم, مكروه, مباح, مستحب, واجب",محرم,ar
فقه,أي مذهب يؤخر بدء صلاة العصر مقارنة بالآخرين؟,"حنفي, شافعي, حنبلي, مالكي",حنفي,ar
علم التوحيد,ما نوع الخلق الذي ينتمي إليه إبليس أو الشيطان؟,"إنسان, ملاك, جن, آخر",جن,ar
التاريخ الإسلامي,في أي سنة ولد محمد؟,"570 قبل الميلاد, 570 ميلادي, 203 ميلادي, 1492 ميلادي",570 ميلادي,ar
التاريخ الإسلامي,ما هو اسم السنة التي ولد فيها محمد؟,"عام الحصان, عام الفيل, عام النمر, عام الثعبان",عام الفيل,ar
التاريخ الإسلامي,ما هو اسم الزوجة الأولى لمحمد؟,"خديجة, عائشة, سودة, زينب",خديجة,ar
الفقه,أي صلاة تحتوي على عدد فردي من الركعات؟,"الفجر, الظهر, العصر, المغرب, العشاء",المغرب,ar
الفقه,"رجل بدون والدين أو زوجة ولكن لديه ولدان وثلاث بنات يموت. لديه 70,000 دولار من الأصول في وصيته. كم تحصل كل بنت؟","لا شيء, 5000 دولار, 10000 دولار, 14000 دولار, 20000 دولار",10000 دولار,ar
علم التوحيد,أي من التالي ليس جزءًا من عقيدة الطحاوي؟,"توحيد الألوهية, توحيد الربوبية, توحيد القدر, توحيد الأسماء والصفات",توحيد القدر,ar
القرآن,أي من التالي هو آية الكرسي؟,"2:255, 2:286, 2:202, 2:153",2:255,ar
القرآن,كم عدد السور في الجزء التاسع والعشرين من القرآن؟,"8, 10, 11, 15",11,ar
القرآن,كم عدد الآيات في النسخة الموحدة من القرآن؟,"5555, 5876, 6236, 6666",6236,ar
القرآن,أي من الأشهر التالية ليس من الأشهر الحرم؟,"ذو القعدة, ذو الحجة, محرم, صفر",صفر,ar
القرآن,ما هي أطول آية في القرآن؟,"2:282, 45:34, 55:38, 3:14",2:282,ar
القرآن,ما هي الآية المعروفة بآية الدين؟,"2:282, 45:34, 55:38, 3:14",2:282,ar
القرآن,كم عدد الأنبياء المذكورين في القرآن؟,"5, 10, 15, 25, 40",25,ar
القرآن,من كان الجد الأكبر ليوسف حسب القرآن؟,"إسماعيل, إسحاق, يعقوب, إبراهيم",إبراهيم,ar
القرآن,ما هو الجذر الثلاثي لكلمة اتستبدلون؟,"ت-ب-ل, د-ل-ن, ب-د-ل, ت-س-ت",ب-د-ل,ar
التاريخ الإسلامي,ما هو الاسم الذي كان يعرف به المدينة قبل أن يسميها النبي؟,"مكة, الطائف, يثرب, اليمامة",يثرب,ar
التاريخ الإسلامي,ما هو اسم القبيلة التي كان ينتمي إليها محمد؟,"قريش, ثقيف, دوس, بني كلب",قريش,ar
التاريخ الإسلامي,ما هو اسم القبيلة التي كانت متمركزة في الطائف في زمن محمد؟,"قريش, ثقيف, دوس, بني كلب",ثقيف,ar
التاريخ الإسلامي,ما هو اسم أول شخص قتل بسبب معتقداته؟,"عمار بن ياسر, سمية بنت خياط, بلال بن رباح, ياسر بن عامر",سمية بنت خياط,ar
القرآن,وفقًا للقرآن، ما هو اسم الملاك الذي يحرس جهنم؟,"جبريل, مالك, ميكائيل, عزرائيل",مالك,ar
التاريخ الإسلامي,في أي سنة كان فتح مكة؟,"5هـ, 6هـ, 8هـ, 10هـ",8هـ,ar
القرآن,ما هي الآية في القرآن التي تسمح بالزواج من أربع زوجات؟,"4:3, 4:133, 16:125, 2:255",4:3,ar
القرآن,أي سورة في القرآن تروي قصة موسى والخضر؟,"الكهف, الأنبياء, موسى, الأنعام",الكهف,ar
الحديث,ما هو موضوع الحديث الأول من الأربعين النووية؟,"أركان الإسلام, النية, يوم القيامة, الإحسان",النية,ar
القرآن,هل هناك آية تقول أن بني إسرائيل سيسببون الفساد في الأرض مرتين؟,"17:4, 14:7, 41:7, 4:17",17:4,ar
القرآن,ما هي الآية التي تتحدث عن أن البحار كانت حبرًا والأشجار كانت أقلامًا وحتى لو كان هناك سبعة أضعاف ذلك لن يكون كافيًا؟,"31:27, 17:4, 16:125",31:27,ar
القرآن,ما هي الآية التي تقول كل نفس ذائقة الموت؟,"17:4, 6:23, 55:22, 3:185",3:185,ar
التاريخ الإسلامي,في أي سنة توفي يوسف القرضاوي؟,"ما زال حيًا, 2018, 2022, 2000",2022,ar
التاريخ الإسلامي,من هو مؤسس جماعة الإخوان المسلمين؟,"محمد كشك, علي الطنطاوي, حسن البنا, سيد قطب",حسن البنا,ar
التاريخ الإسلامي,من كانت خلافته الأطول؟,"أبو بكر, عمر, عثمان, علي",عثمان,ar
التاريخ الإسلامي,أي خلافة جعلت مصر مركز الخلافة؟,"الفاطمية, العباسية, الأموية, العثمانية",الفاطمية,ar
القرآن,"ما اسم السورة التي يعني اسمها ""الدرج""؟","المعارج, السلالم, المدارج, الطارق",المعارج,ar
التاريخ الإسلامي,ما هي المعاهدة التي طلب فيها محمد صلى الله عليه وسلم من علي (رضي الله عنه) أن يمحو رسول الله من العقد؟,"الحديبية, العقبة الأولى, العقبة الثانية, الشجرة",الحديبية,ar
التاريخ الإسلامي,أخذ النبي صلى الله عليه وسلم عهداً بالانتقام لمقتل أحد الصحابة تحت الشجرة. من هو هذا الصحابي؟,"علي بن أبي طالب, أبو بكر, عثمان, سفيان",عثمان,ar
القرآن,كم عدد السور في القرآن؟,"86, 114, 113, 127",114,ar
القرآن,أي من هذه التفاسير هو الأحدث؟,"السعدي, ابن كثير, القرطبي, الرازي",السعدي,ar
قضايا معاصرة,هل الوشم مسموح في الإسلام؟,"محرم, مكروه, مباح, مستحب, واجب",محرم,ar
قضايا معاصرة,هل الإباحية مسموحة في الإسلام؟,"محرم, مكروه, مباح, مستحب, واجب",محرم,ar
الفقه,ما هو حكم الصلاة في الإسلام؟,"محرم, مكروه, مباح, مستحب, واجب",واجب,ar
فقه,ما هو حكم الزكاة في الإسلام؟,"محرم, مكروه, مباح, مستحب, واجب",واجب,ar
فقه,ما هو موقف الإسلام من القمار؟,"محرم, مكروه, مباح, مستحب, واجب",محرم,ar
فقه,ما هو موقف الإسلام من الكحول؟,"محرم, مكروه, مباح, مستحب, واجب",محرم,ar
فقه,ما هو حكم صلاة النافلة قبل الظهر؟,"محرم, مكروه, مباح, مستحب, واجب",مستحب,ar
حديث,ما هو أعلى مستوى من الحديث؟,"متواتر, آحاد, حسن, ضعيف",متواتر,ar
حديث,في الحديث الذي يتحدث عن العلماء كونهم ورثة الأنبياء، ماذا يقول أن الأنبياء لا يتركون وراءهم؟,"ذهب وفضة, دينار ودرهم, أطفال, ممتلكات",دينار ودرهم,ar
التاريخ الإسلامي,أي من القبائل التالية لم تكن من القبائل اليهودية في المدينة؟,"بنو النضير, بنو قينقاع, بنو قريظة, بنو قالون",بنو قالون,ar
التاريخ الإسلامي,ما هو اسم القبيلة التي قابلت هاجر وإسماعيل؟,"جرهم, جنان, كنانة, هشام",جرهم,ar
حديث,من يروي الحديث عن العلماء كونهم ورثة الأنبياء؟,"أبو الدرداء, أبو ذر, أبو قحافة, أنس بن مالك",أبو الدرداء,ar
التاريخ الإسلامي,من اعتنى بالنبي (صلى الله عليه وسلم) مباشرة بعد وفاة والدته؟,"عبد المطلب, أبو طالب, حمزة, عباس",عبد المطلب,ar
التاريخ الإسلامي,ما هو اسم أخت خديجة التي كانت تلتقي بالنبي (صلى الله عليه وسلم) أحيانًا؟,"أيضًا خديجة, هالة, رقية, ميمونة",هالة,ar
التاريخ الإسلامي,في أي سنة هزم صلاح الدين الأوروبيين في الحروب الصليبية؟,"1187 ميلادي, 1099 ميلادي, 1492 ميلادي, 912 ميلادي",1187 ميلادي,ar
التاريخ الإسلامي,أي عالم إسلامي سميت اللوغاريتمات باسمه؟,"اللوغاريتمي, الخوارزمي, الجبري, الفارابي",الخوارزمي,ar
التاريخ الإسلامي,أي صحابي تم تكليفه بجمع القرآن بعد وفاة النبي؟,"زيد بن حارثة, زيد بن ثابت, ثابت بن قيس, أبو أيوب الأنصاري",زيد بن ثابت,ar
القرآن,من هو الصحابي الوحيد المذكور بالاسم في القرآن؟,"أبو بكر, عمر, زيد بن حارثة, زيد بن ثابت",زيد بن حارثة,ar
القرآن,ماذا يسمي الله النبي (صلى الله عليه وسلم) في الإسراء والمعراج؟,"نبي, محمد, عبد, سيد",عبد,ar
القرآن,هل ذكر أبو بكر في القرآن؟,"نعم, لا, بشكل غير مباشر كثاني اثنين, نعم باسمه عبد الله",بشكل غير مباشر كثاني اثنين,ar
التاريخ الإسلامي,من هي المعروفة بذات النطاقين؟,"عائشة بنت أبي بكر, أسماء بنت أبي بكر, أم سلمة, خديجة",أسماء بنت أبي بكر,ar
التاريخ الإسلامي, من هي زوجة النبي ﷺ التي نصحته بحلق رأسه في الحديبية حتى يتبعه الناس؟,عائشة بنت أبي بكر، أسماء بنت أبي بكر، أم سلمة، زينب بنت جحش, أم سلمة,ar
علم التوحيد,هل يؤمن المسلمون بالخطيئة الأصلية؟,"نعم لأن الجميع يميلون إلى الخطيئة, لا المسلمون يؤمنون بمفهوم الفطرة,",لا المسلمون يؤمنون بمفهوم الفطرة,ar
القرآن,أي من هذه الأصنام قال قوم نوح أنهم لا ينبغي أن يتخلوا عنها؟,"اللات, العزى, هبل, ود",ود,ar
القرآن,ما هي الآية في القرآن التي تذكر الأصنام التي قال قوم نوح أنهم لا ينبغي أن يتخلوا عنها؟,"71:11, 71:23, 72:11, 72:23",71:23,ar
التاريخ الإسلامي,ما هو الشهر الأول في التقويم الإسلامي كما هو مفهوم حاليًا؟,"رمضان, محرم, ذو الحجة, صفر",محرم,ar
التاريخ الإسلامي,في عهد من تم إنشاء التقويم الإسلامي الحالي؟,"أبو بكر, عمر, عثمان, علي",عمر,ar
التاريخ الإسلامي,من هو الصحابي الذي دعا قائلاً: اللهم ارزقني الشهادة في سبيلك، واجعل موتي في مدينة رسولك؟,"أبو بكر, عمر, عبيدة بن الجراح, أبو ذر الغفاري",عمر,ar
التاريخ الإسلامي,عندما كان جبريل يأتي إلى محمد في صورة بشرية، أي صحابي كان يشبه؟,"عمر, أبو بكر, حذيفة بن اليمان, دحية الكلبي",دحية الكلبي,ar
الحديث,وفقًا للحديث القدسي الذي يبدأ بـ من عادى لي وليًا، أي من التالي ليس من صفات أولياء الله؟,"السمع الذي يسمع به, البصر الذي يبصر به, الرجل التي يمشي بها, العقل الذي يفكر به",العقل الذي يفكر به,ar
القرآن,أي من التالي ليس من الفئات الثلاثة من الناس في يوم القيامة المذكورة في سورة الواقعة؟,"السابقون السابقون, أصحاب الميمنة, أصحاب المشأمة, أصحاب الجحيم",أصحاب الجحيم,ar
القرآن,من قام بأول ترجمة للقرآن إلى لغة أوروبية؟,"روبرت من كيتون, جورج سيل, عبد الله يوسف علي, محمد مارمادوك بيكثال",روبرت من كيتون,ar
قضايا معاصرة,ما هو موقف الإسلام من علاج أطفال الأنابيب؟,"غير مسموح به أبدًا, مسموح به دائمًا, مسموح به إذا وفقط إذا كان الحيوان المنوي من الزوج والبويضة من الزوجة",مسموح به إذا وفقط إذا كان الحيوان المنوي من الزوج والبويضة من الزوجة,ar
حديث,في الحديث عن مراحل تطور الجنين الثلاثة، أي من المراحل التالية ليست من المراحل المذكورة؟,"نطفة, علقة, مضغة, عظام",عظام,ar
فقه,أي من الفئات التالية ليست من الفئات الثمانية المستحقة للزكاة؟,"عتق الرقاب, العاملين عليها, الغارمين, بناء المساجد",بناء المساجد,ar
فقه,أي من الأنواع التالية ليست من أنواع الحج الثلاثة؟,"إفراد, قران, تمتع, متمم",متمم,ar
فقه,ما هو النوع الأكثر تفضيلاً من الحج؟,"إفراد, قران, تمتع, متمم",تمتع,ar
حديث,وفقًا للحديث، كم عدد أبواب الجنة؟,"1, 3, 7, 8",8,ar
حديث,وفقًا للحديث، ما هو المطلوب للدخول من باب الريان؟,"الصلاة, الصيام, دفع الزكاة, الذكر",الصيام,ar
القرآن,وفقًا للقرآن، كم عدد أبواب جهنم؟,"1, 3, 7, 8",7,ar
القرآن,أي آية في القرآن تخبرنا بعدد أبواب جهنم؟,"15:44, 44:15, 4:15, 5:14",15:44,ar
القرآن,وفقًا للقرآن، كم عدد الملائكة الحراس على جهنم؟,"1, 3, 7, 19",19,ar
القرآن,أي آية في القرآن تخبرنا بعدد الملائكة الحراس على جهنم؟,"74:30, 34:70, 30:74, 47:3",74:30,ar
القرآن,أي من النساء التالية ليست من النساء المذكورات في نهاية سورة التحريم؟,"زوجة فرعون, مريم, زوجة لوط, زوجة نوح, زوجة إبراهيم",زوجة إبراهيم,ar
التاريخ الإسلامي,ما هو اسم ابن عم خديجة الذي كان عالماً بالكتب السماوية؟,"ورقة بن نوفل, خالد بن خويلد, ثابت بن قيس, أيوب بن حكيم",ورقة بن نوفل,ar
قضايا معاصرة,ما هو موقف الإسلام من ارتداء الملابس الخاصة بالجنس الآخر؟,"محرم, مكروه, مباح, مستحب, واجب",محرم,ar
قضايا معاصرة,ما هو موقف الإسلام من التماثيل التي تمثل الكائنات الحية؟,"محرم, مكروه, مباح, مستحب, واجب",محرم,ar
علم التوحيد,من كانت أول مجموعة كبيرة تنشق عن الإسلام السائد؟,"الخوارج, المعتزلة, الشيعة, الجهمية",الخوارج,ar
علم التوحيد,في فهم الشر، أي من التالي ليس من أشكال إرادة الله؟,"إرادة شرعية, إرادة كونية, إرادة نفسية",إرادة نفسية,ar
فقه,هل يجب على النساء الحائضات الذهاب إلى صلاة العيد؟,"نعم, لا, نعم ولكن لا يشاركن في الصلاة نفسها",نعم ولكن لا يشاركن في الصلاة نفسها,ar
التاريخ الإسلامي,ما هو اسم الشخص الذي اغتال عمر؟,"دجانة الشامي, أبو لؤلؤة المجوسي, ليث السعدي, يمام بن قيس",أبو لؤلؤة المجوسي,ar
القرآن,ما هي الآية التي تقول لا يمسه إلا المطهرون؟,"56:79, 59:76, 57:69, 5:69",56:79,ar
القرآن,ما هي الآية التي تقول أن الفساد قد انتشر في الأرض نتيجة لأفعال الناس؟,"31:40, 3:140, 30:41, 30:14",30:41,ar
